Config:
C3_WINDOW_SIZE: 100
BYTES_SAVED_MARGIN: 0.010000
C3_GRAPH_SHARE_SOURCE_NODES: 0
REVERT_BB_IF_C3_BAD: 1
USE_PRUNING_RULES: 1
FINALIZE_GRAPH_RESORT_EDGES: 0
USE_RANDOM_GENERATOR_SAMPLES: 0
IGNORE_BB_ECR: 0
C3_SAMPLE_NUM_RUNS: 49152
C3_SAMPLE_RUN_SIZE: 1
ENABLE_EQUALITY: 1
ENABLE_DICT_1TO1: 1
ENABLE_DICT_1TON: 1
ENABLE_NUMERICAL: 1
ENABLE_DFOR: 1
ENABLE_DICT_SHARING: 1
DICT_EXCEPTION_RATIO_THRESHOLD: 0.100000
EQUALITY_EXCEPTION_RATIO_THRESHOLD: 0.100000
DICTIONARY_COMPRESSION_SCHEME: 0
DICTIONARY_CODES_COMPRESSION_SCHEME: 5
EXCEPTION_COMPRESSION_SCHEME: 0
DFOR_CODES_COMPRESSION_SCHEME: 5
NUMERICAL_CODES_COMPRESSION_SCHEME: 5
SHARE_ROW_GROUP_SCHEME: 1

Compressing: Arade_1; Row Group 0
Dict_1toN: src 1 and target 0; bytes saved source: 0; bytes saved target: 14525
Compressing: Bimbo_1; Row Group 0
Numerical: src 3 and target 11; bytes saved source: 0; bytes saved target: 33180
Dict_1toN: src 7 and target 10; bytes saved source: 0; bytes saved target: 30978
Compressing: CityMaxCapita_1; Row Group 0
Equal: src 22 and target 1; bytes saved source: 0; bytes saved target: 161833
Dict_1toN: src 21 and target 17; bytes saved source: 0; bytes saved target: 54249
Dict_1toN: src 20 and target 26; bytes saved source: 0; bytes saved target: 31712
Dict_1toN: src 23 and target 2; bytes saved source: 0; bytes saved target: 18452
Dict_1toN: src 0 and target 14; bytes saved source: 0; bytes saved target: 15991
Compressing: CMSprovider_1; Row Group 0
Dict_1toN: src 6 and target 5; bytes saved source: 0; bytes saved target: 78341
Dict_1to1: src 19 and target 13; bytes saved source: 0; bytes saved target: 61842
Dict_1toN: src 22 and target 11; bytes saved source: 0; bytes saved target: 40075
Dict_1to1: src 7 and target 14; bytes saved source: 0; bytes saved target: 34442
Dict_1toN: src 17 and target 18; bytes saved source: 0; bytes saved target: 30985
Dict_1toN: src 8 and target 3; bytes saved source: 0; bytes saved target: 29758
Dict_1to1: src 21 and target 9; bytes saved source: 0; bytes saved target: 16454
Dict_1toN: src 12 and target 16; bytes saved source: 0; bytes saved target: 12704
Dict_1toN: src 20 and target 15; bytes saved source: -2065; bytes saved target: 8197
Compressing: CommonGovernment_1; Row Group 0
Equal: src 9 and target 10; bytes saved source: 0; bytes saved target: 228973
Equal: src 41 and target 43; bytes saved source: 0; bytes saved target: 83514
Dict_1to1: src 44 and target 42; bytes saved source: 0; bytes saved target: 73394
Dict_1to1: src 34 and target 35; bytes saved source: 0; bytes saved target: 73146
Dict_1to1: src 18 and target 50; bytes saved source: 0; bytes saved target: 62442
Equal: src 21 and target 20; bytes saved source: 0; bytes saved target: 60242
Dict_1toN: src 12 and target 1; bytes saved source: 0; bytes saved target: 58584
Dict_1to1: src 14 and target 19; bytes saved source: 0; bytes saved target: 50410
Dict_1to1: src 16 and target 26; bytes saved source: 0; bytes saved target: 41246
Dict_1to1: src 3 and target 4; bytes saved source: 0; bytes saved target: 40506
Dict_1to1: src 49 and target 22; bytes saved source: 0; bytes saved target: 37630
Dict_1toN: src 11 and target 47; bytes saved source: 0; bytes saved target: 26822
Dict_1toN: src 13 and target 54; bytes saved source: 0; bytes saved target: 24758
Dict_1toN: src 33 and target 45; bytes saved source: 0; bytes saved target: 19711
Dict_1toN: src 32 and target 30; bytes saved source: 0; bytes saved target: 18975
Dict_1toN: src 24 and target 23; bytes saved source: 0; bytes saved target: 18007
Dict_1to1: src 6 and target 7; bytes saved source: 0; bytes saved target: 14158
Dict_1to1: src 28 and target 55; bytes saved source: 0; bytes saved target: 8986
Compressing: Corporations_1; Row Group 0
Equal: src 4 and target 16; bytes saved source: 0; bytes saved target: 262386
Equal: src 10 and target 17; bytes saved source: 0; bytes saved target: 262195
Equal: src 25 and target 22; bytes saved source: 0; bytes saved target: 262195
Equal: src 6 and target 2; bytes saved source: 0; bytes saved target: 261830
Equal: src 12 and target 7; bytes saved source: 0; bytes saved target: 260028
Dict_1toN: src 13 and target 8; bytes saved source: 0; bytes saved target: 49215
Dict_1toN: src 24 and target 21; bytes saved source: -2065; bytes saved target: 19827
Numerical: src 0 and target 11; bytes saved source: 0; bytes saved target: 6632
Compressing: Eixo_1; Row Group 0
Dict_1to1: src 15 and target 0; bytes saved source: 0; bytes saved target: 88714
Dict_1toN: src 22 and target 24; bytes saved source: 0; bytes saved target: 80913
Equal: src 66 and target 2; bytes saved source: 0; bytes saved target: 79267
Equal: src 35 and target 36; bytes saved source: 0; bytes saved target: 75587
Dict_1to1: src 16 and target 48; bytes saved source: 0; bytes saved target: 73866
Dict_1to1: src 46 and target 12; bytes saved source: 0; bytes saved target: 72402
Dict_1to1: src 13 and target 14; bytes saved source: 0; bytes saved target: 71254
Dict_1toN: src 70 and target 6; bytes saved source: 0; bytes saved target: 39071
Dict_1to1: src 10 and target 8; bytes saved source: 0; bytes saved target: 34612
Dict_1to1: src 39 and target 30; bytes saved source: 0; bytes saved target: 33078
DFOR: src 5 and target 7; bytes saved source: 0; bytes saved target: 31844
DFOR: src 45 and target 9; bytes saved source: 0; bytes saved target: 31432
Dict_1toN: src 34 and target 69; bytes saved source: 0; bytes saved target: 29595
Dict_1toN: src 29 and target 28; bytes saved source: 0; bytes saved target: 27497
Dict_1to1: src 60 and target 3; bytes saved source: 0; bytes saved target: 24774
Dict_1to1: src 51 and target 59; bytes saved source: 0; bytes saved target: 17246
Dict_1toN: src 19 and target 57; bytes saved source: 0; bytes saved target: 15186
